"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","comments","FID","new_Lat","new_Lon","notes"
"1",NA,"Universidade Federal do Paraná, UFPR","EFC","16430","Handroanthus umbellatus (Sond.) Mattos",NA,"Bignoniaceae","Handroanthus","umbellatus",NA,"(Sond.) Mattos","Dall Agnol, R.T.","2018-03-23T00:00:00.000+0000",NA,"266",NA,"Dall Agnol, R.T.",2018,3,23,"brazil","parana","curitiba","Rua Emilio Cornelsen, 449 - Ahú",-49.2589,-25.4066,"Árvore 3 m, síliquas cilíndricas extremamente longas. Cultivada __COMMOM_NAME__: Ipê-amarelo-da-várzea","BRA:UFPR:EFC:0000016430",NA,"Handroanthus umbellatus (Sond.) Mattos",NA,875,-25.4066,-49.2589,"original coordinates"
"2",NA,"Universidade Federal do Paraná, UFPR","EFC","16224","Handroanthus umbellatus (Sond.) Mattos",NA,"Bignoniaceae","Handroanthus","umbellatus",NA,"(Sond.) Mattos","Dall Agnol, R.T.","2017-11-22T00:00:00.000+0000",NA,NA,NA,"Dall Agnol, R.T.",2017,11,22,"brazil","parana","curitiba","UFPR- Botânico entre cifloma e Biofix",-49.2378,-25.447,"Árvore de 2m. Cultivada __COMMOM_NAME__: ipê-amarelo-da-várzea","BRA:UFPR:EFC:0000016224",NA,"Handroanthus umbellatus (Sond.) Mattos",NA,875,-25.447,-49.2378,"original coordinates"
"3",NA,"Universidade Federal de Santa Catarina (UFSC)","FLOR","60845","Handroanthus umbellatus (Sond.) Mattos",NA,"Bignoniaceae","Handroanthus","umbellatus",NA,"(Sond.) Mattos","Pagnocca, T.S.","2016-10-15T00:00:00.000+0000",NA,"45",NA,"Pagnocca, T.S.",2016,8,2,"brazil","santa catarina","florianopolis",NA,-48.479444,-27.598889,"Árvore de 10 a 15 metros de altura, possui folhas opostas e flores amarelas. O fruto é do tipo cápsula, cilíndrico e muito longos","BRA:UFSC:FLOR:0000060845",NA,"Handroanthus umbellatus (Sond.) Mattos",NA,517,-27.598889,-48.479444,"original coordinates"
"4",NA,"Universidade Regional de Blumenau, FURB","FURB","45450","Handroanthus umbellatus (Sond.) Mattos",NA,"Bignoniaceae","Handroanthus","umbellatus",NA,"(Sond.) Mattos","Oliveira, AA de","2015-01-15T00:00:00.000+0000",NA,"855",NA,"Oliveira, A.A. de",2015,1,15,"brazil","santa catarina","nova veneza","São Bento Baixo.",-49.499444,-28.710833,"Regeneração IFFSC 40 /N/197","BRA:FURB:FURB:0000045450",NA,"Handroanthus umbellatus (Sond.) Mattos",NA,302,-28.710833,-49.499444,"original coordinates"
"5",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA129125","Handroanthus umbellatus (Sond.) Mattos",NA,"Bignoniaceae","Handroanthus","umbellatus",NA,"(Sond.) Mattos","Colletta, G.D. et al.","2014-01-01T00:00:00.000+0000",NA,"1541",NA,"Colletta, G.D.",2014,5,15,"brazil","sao paulo","nova odessa","Plantarum",NA,NA,NA,"BRA:ESALQ:ESA:0ESA129125",NA,"Handroanthus umbellatus (Sond.) Mattos",NA,1418,-22.784065,-22.784065,"centroide mpo"
"6",NA,"Jardim Botânico de Brasília (JBB)","HEPH","15665","Handroanthus umbellatus (Sond.) Mattos",NA,"Bignoniaceae","Handroanthus","umbellatus",NA,"(Sond.) Mattos","Chacon, RG","2014-05-14T00:00:00.000+0000",NA,"1061",NA,"Chacon, RG",2013,7,4,"brazil","distrito federal","brasilia","Estação Ecológica do Jardim Botânico de Brasília - Taquara, área do Cristo.",-47.835,-15.874167,"Árvore ca.10m de altura flor Amarela; Fruto Laranjado-amarelo; Mata de Galeria; Relevo Plano","BRA:JBB:HEPH:0000015665",NA,"Handroanthus umbellatus (Sond.) Mattos",NA,3101,-15.874167,-47.835,"original coordinates"
"7",NA,"IF","SPSF","49139","Handroanthus umbellatus (Sond.) Mattos",NA,"Bignoniaceae","Handroanthus","umbellatus",NA,"(Sond.) Mattos","G.M. Marcusso","2013-08-20T00:00:00.000+0000",NA,"198",NA,"G.M. Marcusso",2013,8,20,"brazil","sao paulo","botucatu","Escola do Meio Ambiente",-48.458611,-22.926944,"COLETA: Árvore com aprox. 5m de altura.; GEOGRAFIA: Floresta Paludosa.;","BRA:IF:SPSF:0000049139",NA,"Handroanthus umbellatus (Sond.) Mattos",NA,1381,-22.926944,-48.458611,"original coordinates"
"8",NA,"UNICAMP","UEC","194786","Tabebuia umbellata (Sond.) Sandwith",NA,"Bignoniaceae","Handroanthus","umbellata",NA,"(Sond.) Sandwith","Monge, M.",NA,NA,"2044",NA,"Monge, M.",2013,8,13,"brazil","sao paulo","campinas","Barão Geraldo.Unicamp. Praça da Paz, próximo a portaria",-47.783333,-22.816389,"Árvore, 3 m de altura, flores amarelo-claro, cálice verde.; cultivada","BRA:UNICAMP:UEC:0000194786",NA,"Tabebuia umbellata (Sond.) Sandwith",NA,1373,-22.816389,-47.783333,"original coordinates"
"9",NA,"Universidade Estadual Paulista, UNESP","HRCB","61829","Handroanthus umbellatus (Sond.) Mattos",NA,"Bignoniaceae","Handroanthus","umbellatus",NA,"(Sond.) Mattos","Marcusso, G.M.","2014-01-01T00:00:00.000+0000",NA,"198",NA,"Marcusso, G.M.",2013,8,20,"brazil","sao paulo","botucatu","Escola do Meio Ambiente",-48.458694,-22.926944,"Árvore","BRA:UNESPRC:HRCB:0000061829",NA,"Handroanthus umbellatus (Sond.) Mattos",NA,1381,-22.926944,-48.458694,"original coordinates"
"10",NA,"UEFS","HUEFS","206293","Handroanthus umbellatus (Sond.) Mattos",NA,"Bignoniaceae","Handroanthus","umbellatus",NA,"(Sond.) Mattos",NA,NA,NA,"306",NA,"Uller, H.F.",2013,9,NA,"brazil","rio de janeiro","sao pedro da aldeia","conglomerado 151-3-9-57.",-50.879722,-22.791944,NA,"BRA:UEFS:HUEFS:0000206293",NA,"Handroanthus umbellatus (Sond.) Mattos",NA,1412,-22.791944,-50.879722,"original coordinates"
