"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"F","Botany","V0112534F","Peltogyne catingae Ducke","Fabaceae","Peltogyne","catingae",NA,"Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"8334b930-1f52-4c3b-a6b9-57efef5790c9",NA,"Peltogyne catingae Ducke"
"2","2015-09-04T02:52:35.000+0000","MNHN","P","P03110362","Peltogyne catingae Ducke","Fabaceae","Peltogyne","catingae",NA,"Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03110362",NA,"Peltogyne catingae Ducke"
"3",NA,"NY","NY","02694524","Peltogyne catingae Ducke","Fabaceae","Peltogyne","catingae",NA,"Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"598cb706-102e-42a0-bb2b-c4bdb1280971",NA,"Peltogyne catingae Ducke"
"4",NA,"F","Botany","V0112532F","Peltogyne catingae Ducke","Fabaceae","Peltogyne","catingae",NA,"Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"bec61cb7-13ea-471b-806e-9c3fe7ea8aa2",NA,"Peltogyne catingae Ducke"
"5",NA,"F","Botany","V0112533F","Peltogyne catingae Ducke","Fabaceae","Peltogyne","catingae",NA,"Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"042fbd73-4f74-4484-8a06-1e32dbe60958",NA,"Peltogyne catingae Ducke"
"6","2/06/17 15:39","INPA","INPA","53616","Peltogyne catingae","Leguminosae-Caes","Peltogyne",NA,NA,"Ducke","Silva, MF da",NA,NA,NA,NA,NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,"Peltogyne catingae Ducke"
"7","2/06/17 15:39","INPA","INPA","53620","Peltogyne catingae","Leguminosae-Caes","Peltogyne",NA,NA,"Ducke","Silva, MF da",NA,NA,NA,NA,NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,"Peltogyne catingae Ducke"
"8",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","78213","Peltogyne catingae Ducke","Fabaceae","Peltogyne","catingae",NA,"Ducke","Castaño-A., N.","2011-02-01T00:00:00.000+0000",NA,"10693",NA,"Castro, F.",2010,11,15,"Colombia","Caquetá",NA,"región Araracuara, bosque medio, base de tepuy",-72.381667,-0.298889,"Ejemplar botánico","SINCHI:COAH:78213",NA,"Peltogyne catingae Ducke"
"9",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","41984","Peltogyne catingae Ducke","Fabaceae","Peltogyne","catingae",NA,"Ducke",NA,NA,NA,"547",NA,"Phillips, J.F.",2000,6,7,"Colombia","Caquetá",NA,"Zona SE de PNN serranía de Chiribiquete",-72.44667,0.07111,"Ejemplar botánico","SINCHI:COAH:41984",NA,"Peltogyne catingae Ducke"
"10",NA,"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","FMB","FMB-63763","Peltogyne catingae Ducke","Fabaceae","Peltogyne","catingae",NA,"Ducke","Cárdenas, Dairon","2001-03-31T00:00:00.000+0000",NA,"106",NA,"Dávila, Daniel | García, Silverio",2000,11,4,"Colombia","Caquetá",NA,"Estación Biológica de Puerto Abeja",-72.460556,0.065833,NA,"IAvH:FMB-63763",NA,"Peltogyne catingae Ducke"
