"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","infraspecificEpithet","fieldNumber","comments","bibliographicCitation","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","new_Lat","new_Lon"
"1","2017-10-26T15:24:16.000+0000","JBRJ","RB","RB01372648","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano","V.F. Mansano",NA,NA,"271","K.S. Valdemarin; T.B. Flores; H.J.T. Muniz",2016,11,23,"brazil","sao paulo","angatuba","Bairro Guareí Velho. Propriedade do Zé Branco. Coordenadas geográficas: -23.483182 LAT, 48.51116 LONG.",NA,NA,NA,"urn:catalog:JBRJ:RB:1372648","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,1200,"Angatuba",3502200,-48.458998,-23.436054,"SAO PAULO","SP","São Paulo",-48.73276064,-22.26541286,-23.436054,-48.458998
"2",NA,"Universidade Estadual de Londrina, UEL","FUEL","48143","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano","Francisco, EM","2010-10-01T00:00:00.000+0000",NA,"113","Rossetto, EFS; Francisco, EM",2010,10,14,"brazil","parana","jundiai do sul","Mata do Ibiti, interior da mata",-50.262222,-23.420778,"Árvore, frutos maduros marrons e carnosos.","BRA:UEL:FUEL:0000048143","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,1184,"Jundiaí do Sul",4112900,-50.232122,-23.47341,"PARANA","PR","Paraná",-51.62375032,-24.6368312,-23.420778,-50.262222
"3",NA,"Cenargen","CEN","77003","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano","E. M. Francisco",NA,NA,"113","E. F. S. Rossetto",2010,10,14,"brazil","pr","jundiai do sul","Brasil - Paraná - Jundiaí do Sul - Mata do Ibiti",-50.262222,-23.420555,"Àrvore, frutos maduros marons e carnosos, coletada no interior da mata. Doação da Universidade Estadual de Londrina - Departamento de Biologia Animal e Vegetal - Herbário FUEL Nº 48.143","BRA:Cenargen:CEN:0000077003","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.420555,-50.262222
"4",NA,"IF","SPSF","52192","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano","R.L.R.Santos","2010-01-02T00:00:00.000+0000",NA,"93","R.L.R.Santos & T.M.Ribeiro & R.T.Polisel",2009,2,10,"brazil","sp","itabera","Estação Ecológica",-49.144167,-23.833889,"COLETA: Árvore de 13m de altura. Frutos maduros, indivíduo 5903 da fitossociologia.; GEOGRAFIA: Floresta Ombrófila Mista.;","BRA:IF:SPSF:0000052192","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.833889,-49.144167
"5",NA,"Reserva Natural Vale (CVRD)","CVRD","14631","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano","A.O.S. Vieira","2010-05-06T00:00:00.000+0000",NA,"278","Francisco, E.M.",2009,5,29,"brazil","pr","londrina",NA,NA,NA,"<ll>dwc_commonname:</ll> Vargem do godoy","BRA:CVRD:CVRD:0000014631","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,"Universidade Estadual de Londrina, UEL","FUEL","46950","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano","Vieira, AOS","2010-05-06T00:00:00.000+0000",NA,"278","Francisco, EM",2009,5,29,"brazil","parana","londrina","Parque Estadual Mata dos Godoy, interior da mata",-51.233333,-23.433333,"Árvore 25m alt.; flor rosa.","BRA:UEL:FUEL:0000046950","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,1175,"Londrina",4113700,-51.110175,-23.515282,"PARANA","PR","Paraná",-51.62375032,-24.6368312,-23.433333,-51.233333
"7",NA,"Universidade Estadual de Londrina, UEL","FUEL","46601","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano",NA,NA,NA,"27","Rossetto, EFS; et al.",2009,8,7,"brazil","parana","jundiai do sul","Mata do Cruzeiro, interior de fragmento",-50.263694,-23.433167,"Árvore, sem estruturas reprodutivas.","BRA:UEL:FUEL:0000046601","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,1184,"Jundiaí do Sul",4112900,-50.232122,-23.47341,"PARANA","PR","Paraná",-51.62375032,-24.6368312,-23.433167,-50.263694
"8",NA,"IF","SPSF","47277","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano",NA,NA,NA,"1009","R.T.Polisel & N.M.Ivanauskas & T.M.Ribeiro & D.Souza",2009,11,7,"brazil","sp","itabera","Estação Ecológica",-49.136944,-23.861944,"COLETA: Indivíduo 6485 da fitossociologia.; GEOGRAFIA: No sub-bosque de floresta com araucária. (SAD 70, Zona 23k);","BRA:IF:SPSF:0000047277","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.861944,-49.136944
"9",NA,"MBM","MBM","347924","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano","Carneiro, J",NA,NA,"1650","Carneiro, J",2007,6,30,"brazil","parana","jundiai do sul","Mata do Cruzeiro",0,0,"ÁRvore, 15m. Mata primária","BRA:MBM:MBM:0000347924","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,1184,"Jundiaí do Sul",4112900,-50.232122,-23.47341,"PARANA","PR","Paraná",-51.62375032,-24.6368312,-23.47341,-50.232122
"10",NA,"IF","SPSF","38649","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano","J.B.Baitello","2008-02-15T00:00:00.000+0000",NA,"1892","J.B.Baitello & O.T. Aguiar & C.R.Lima",2007,8,29,"brazil","sp","paranapanema","Estação Ecológica de Paranapanema",-48.731389,-23.524167,"COLETA: Árvore 12m, anteras marrom avermelhadas.; GEOGRAFIA: Trilha 03.&nf;Margem do rio Santa Helena.;","BRA:IF:SPSF:0000038649","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.524167,-48.731389
"11",NA,"UNICAMP","UEC","156655","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano","Baitello, J.B.","2007-09-26T00:00:00.000+0000",NA,"60","Lima, C.R.; Pastore, J.F.B.; Baitello, J.B.; Bueno, D.F.",2007,9,26,"brazil","sao paulo","paranapanema","Estação Ecológica, Trilha C.",-48.732778,-23.525278,"Árvore 12m altura, fruto imaturos verdes.","BRA:UNICAMP:UEC:0000156655","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,1199,"Paranapanema",3535804,-48.795378,-23.438068,"SAO PAULO","SP","São Paulo",-48.73276064,-22.26541286,-23.525278,-48.732778
"12",NA,"IF","SPSF","38717","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano","J.B.Baitello","2007-09-26T00:00:00.000+0000",NA,"60","C.R.Lima & J. A. Pastore & J.B.Baitello & D.F.Bueno",2007,9,26,"brazil","sp","paranapanema","Estação Ecológica de Paranapanema",-48.732778,-23.525278,"COLETA: Árvore 12m, frutos imaturos verdes.; GEOGRAFIA: Trilha C.;","BRA:IF:SPSF:0000038717","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.525278,-48.732778
"13",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA093455","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano",NA,NA,NA,NA,"Filho, E.M.C.",2005,9,20,"brazil","sao paulo","capao bonito",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA093455","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,1045,"Capão Bonito",3510203,-48.289336,-24.038887,"SAO PAULO","SP","São Paulo",-48.73276064,-22.26541286,-24.038887,-48.289336
"14",NA,"UEFS","HUEFS","130659","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano",NA,NA,NA,"s/n","Campos, E.M.",2005,9,20,"brazil","sao paulo","capao bonito","Conservação Empresa Casa da floresta. Fazenda santa lnês. Fragmento "" Deserto"" (propriedade da V.C.P. - Votorantim Celulose e Papel).",-73.723889,-22.1,NA,"BRA:UEFS:HUEFS:0000130659","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,1045,"Capão Bonito",3510203,-48.289336,-24.038887,"SAO PAULO","SP","São Paulo",-48.73276064,-22.26541286,-22.1,-73.723889
"15","2013-02-25T00:00:00.000+0000","K","Herbarium","K000892320","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano","Campos Filho, M.","2005-09-20T00:00:00.000+0000",NA,"s.n.","Campos Filho, E.M.",2005,9,20,"brazil",NA,"capao bonito","Fazenda Santa Inês. Fragmento ""Deserto"" (propriedade da VCP - Votorantin Celulose e Papel). Latitude: 22J762906, Longitude: 7343264 (UTM) .",NA,NA,"(datum: SAD69)","http://specimens.kew.org/herbarium/K000892320","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2014-07-22T15:03:39.000+0000","JBRJ","RB","RB00459426","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano","V. F. Mansano",NA,NA,"3620","M. A. Pinho - Ferreira; F. M. Souza",2004,1,10,"brazil","sao paulo","porto feliz","Sítio de Dito Diana.",NA,NA,"Árvore 7,5 m de altura.","urn:catalog:JBRJ:RB:459426","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,1260,"Porto Feliz",3540606,-47.516875,-23.230012,"SAO PAULO","SP","São Paulo",-48.73276064,-22.26541286,-23.230012,-47.516875
"17","2017-10-10T18:07:07.000+0000","JBRJ","RB","RB00311564","Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","Exostyles","godoyensis","Soares-Silva & Mansano","V. F. Mansano",NA,NA,NA,"E. Campos Filho",2004,3,19,"brazil","sao paulo","itapetininga",NA,NA,NA,"Árvore","urn:catalog:JBRJ:RB:311564","Exostyles godoyensis Soares-Silva & Mansano",NA,NA,NA,NA,1132,"Itapetininga",3522307,-48.12332,-23.645011,"SAO PAULO","SP","São Paulo",-48.73276064,-22.26541286,-23.645011,-48.12332
