"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","new_Lat","new_Lon"
"1","2014-12-08T09:19:57.000+0000","JBRJ","RB","RB00323722","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires","J.V.Sckneider(Fr)","2012-01-01T00:00:00.000+0000",NA,"504",NA,"Campos, M.T.V. do A.; Silva, C.F. da; Arcanjo Pinheiro, R.C.",1996,2,16,"brazil","amazonas","manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26.",-59.966667,-2.883333,"Árvore. 18 m DAP=20 cm. Solo argiloso. Tronco circular, levemente achatado na região próxima da base. Base acanalada. Ritidoma marrom-avermelhado, frágil, ligeiramente rugoso. Sem lenticelas. Casca morta marrom avermelhada, 1mm. Casca viva, fibrosa, vermelhada, 5mm. Alburno bege. Odor agradável. Frutos imaturos verdes, estriados longitudinalmente com manchas bege. Frutos maduros amarelos com estrias bege.","urn:catalog:JBRJ:RB:323722",NA,"Lacunaria oppositifolia Pires",NA,NA,NA,5411,"Manaus",1302603,-60.251153,-2.607107,"AMAZONAS","AM","Amazonas",-64.65219948,-4.15548242,-2.883333,-59.966667
"2",NA,"NY","NY","02098718","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires","G. Zizka","2012-01-01T00:00:00.000+0000",NA,"5158",NA,"W. W. Thomas",1986,6,18,"brazil","rondonia",NA,"Repressa Samuel: along igarapé Japíim, ca. 2 hours upstream from dam by boat",-63.33,-8.82,NA,"f1f0f453-499e-4e7c-b106-1b361f0aef4d",NA,"Lacunaria oppositifolia Pires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rondônia",-62.84395074,-10.91095782,-8.82,-63.33
"3","2015-04-17T10:13:00.000+0000","MO","MO","100809615","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires","G. Zizka","2012-01-01T00:00:00.000+0000",NA,"Thomas 5158",NA,"W. Wayt Thomas|C.D.A. da Mota|E. Fiuza Lima",1986,6,18,"brazil","rondonia",NA,"Represa Samuel: along igarapé Japím, ca. 2 hours upstream from dam by boat.",-63.333333,-8.816667,NA,"urn:catalog:MO:Tropicos:100809615","http://www.tropicos.org/Specimen/100809615","Lacunaria oppositifolia Pires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rondônia",-62.84395074,-10.91095782,-8.816667,-63.333333
"4","2011-05-18T16:37:00.000+0000","MO","MO","3078148","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires","J.M. Pires","1984-01-01T00:00:00.000+0000",NA,"Rosa 2141",NA,"Nelson A. Rosa|M.R. dos Santos",1977,6,18,"brazil",NA,NA,"Mato Grosso, margem esquerda do rio Juruena, terreno de várzea, SC 21 VC PT 15.",NA,NA,NA,"urn:catalog:MO:Tropicos:3078148","http://www.tropicos.org/Specimen/3078148","Lacunaria oppositifolia Pires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2014-07-08T02:08:03.000+0000","JBRJ","RB","RB00322782","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires","J.M.Pires",NA,NA,"2141",NA,"N.A.Rosa; M.R.Santos",1977,6,18,"brazil","mato grosso","mato grosso","Margem esquerda do rio Juruena.",NA,NA,"Árvore de 10 m por 40 cm de circunferencia, flores cremes","urn:catalog:JBRJ:RB:322782",NA,"Lacunaria oppositifolia Pires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mato Grosso",-55.91290105,-12.94917881,NA,NA
"6","2008-05-27T22:02:00.000+0000","MO","MO","3078044","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires","G. Zizka, Frankfurt a.M.","1998-01-01T00:00:00.000+0000",NA,"Berg P18632",NA,"Cornelis C. Berg",1973,10,18,"brazil",NA,NA,"Forest on banks of Rio Aripuanã, below Andurina Falls.",NA,NA,NA,"urn:catalog:MO:Tropicos:3078044","http://www.tropicos.org/Specimen/3078044","Lacunaria oppositifolia Pires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2009-07-21T16:27:00.000+0000","MO","MO","100201961","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires","G. Zizka","1998-01-01T00:00:00.000+0000",NA,"Berg P18563",NA,"Cornelis C. Berg",1973,10,15,"brazil","mato grosso do sul",NA,"Forest on west side of Rio Aripuanã below Salto dos Dardanelos.",-59.35,-10.2,NA,"urn:catalog:MO:Tropicos:100201961","http://www.tropicos.org/Specimen/100201961","Lacunaria oppositifolia Pires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mato Grosso do Sul",-54.84600034,-20.32777902,-10.2,-59.35
"8",NA,"NY","NY","00996983","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires","G. Zizka","1998-01-01T00:00:00.000+0000",NA,"P18563",NA,"C. C. Berg",1973,10,15,"brazil","mato grosso",NA,"Forest on west side of Rio AripuanÃ£, below Salto dos Dardanelos.",-59.35,-10.2,NA,"d5f46ca8-1a23-449f-8aac-8fe7ef16dd1e",NA,"Lacunaria oppositifolia Pires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mato Grosso",-55.91290105,-12.94917881,-10.2,-59.35
"9","2015-04-11T13:53:47.000+0000","S","VascularPlants","S13-15718","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,"60692",60692,"Nilo T. Silva & Umbelino Brazão",1965,12,19,"brazil",NA,NA,"Plants of the Third Serra da Neblina Expedition 1965-1966. Rio Negro, Rio Cauburí, Rio Maturacá, Brasil. Between Palmito and Tatu Camp.",NA,NA,NA,"S:VascularPlants:S13-15718",NA,"Lacunaria oppositifolia Pires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-04-11T13:53:47.000+0000","S","VascularPlants","S13-15728","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,"60772",60772,"Nilo T. Silva & Umbelino Brazão",1965,12,29,"brazil",NA,NA,"Plants of the Third Serra da Neblina Expediotion 1965-1966. Rio Negro, Rio Cauaburí, Rio Maturacá, Brasil. Between Maloca and Rio Cauaburí.",NA,NA,NA,"S:VascularPlants:S13-15728",NA,"Lacunaria oppositifolia Pires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
