"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2013-06-11T14:52:41.000+0000","JBRJ","RB","RB00590701","Vochysia maxima Ducke","Vochysiaceae","Vochysia","maxima","Ducke",NA,NA,NA,"827",NA,"Pereira, L.A. ; Cardoso, J.O.",2005,1,15,"Brazil","Amapá","Laranjal do Jari","Parque Nacional do Tumucumaque.",-53.106667,0.276389,"Planta em solo arenoso com aproximadamente 25 m de altura presença de estípula na base dos pecíolos, inflorescência com flores amarelo, folhas brilhosa na face adaxial. Presença de frutos amarelos.","urn:catalog:JBRJ:RB:590701",NA,"Vochysia maxima Ducke"
"2","2015-01-16T00:00:00.000+0000","K","Herbarium","K001108493","Vochysia maxima Ducke","Vochysiaceae","Vochysia","maxima","Ducke","Silva, N.","1987-12-30T00:00:00.000+0000",NA,"1902",NA,"Silva, N.T. da; Pires, J.M.",1987,12,30,"Brazil",NA,"Almeirim","M. Dourado, Gleba M. Dourado.",-52.53,-0.53,"Plantas da Amazõnia. Nome vulgar: Quaruba fissurada","http://specimens.kew.org/herbarium/K001108493",NA,"Vochysia maxima Ducke"
"3",NA,"UnB","UB","203052","Vochysia maxima Ducke","Vochysiaceae","Vochysia","maxima","Ducke","Shimizu, GH","2015-12-01T00:00:00.000+0000",NA,"1621",NA,"Silva, MFF; Rosa, NA; Oliveira, J; Bahia, RP",1983,8,22,"Brazil","Pará","Marabá","Serra Norte-Carajás",0,0,"Árvore de 25 m de altura, flor amarela; Mata de terra firme sobre mina de Manganês","BRA:UnB:UB:0000203052",NA,"Vochysia maxima Ducke"
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","61192","Vochysia maxima Ducke","Vochysiaceae","Vochysia","maxima","Ducke","""Coêlho, D.F.; Rodrigues, W.A.""","1976-01-01T00:00:00.000+0000",NA,"s.n.",NA,"Mike Hopkins",1975,12,4,"Brazil","Pará",NA,"Estrada Santarém-Cuiabá, BR-165, km 110",NA,NA,NA,"urn:catalog:inpa:herbarium:72865",NA,"Vochysia maxima Ducke"
"5",NA,"NY","NY","2027165","Vochysia maxima Ducke","Vochysiaceae","Vochysia","maxima","Ducke",NA,NA,NA,"1429",NA,"N. T. da Silva",1968,11,22,"Brazil","Pará",NA,"Rio Jarí, Monte Dourado, Planalto B, Pilão.",-52.600822,-0.880931,NA,"90bcfda0-2b48-428d-97f1-470a40c28286",NA,"Vochysia maxima Ducke"
"6",NA,NA,"Botany","U.1769685","Vochysia maxima Ducke","Vochysiaceae","Vochysia","maxima","Ducke",NA,NA,NA,NA,NA,"Ducke A",1933,1,17,"Brazil",NA,NA,"Serra de santarem (Para).",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1769685",NA,"Vochysia maxima Ducke"
"7","2007-03-29T09:31:17.000+0000","JBRJ","RB","RB00458175","Vochysia maxima Ducke","Vochysiaceae","Vochysia","maxima","Ducke",NA,NA,NA,NA,NA,"A. Ducke",1933,1,17,"Brazil","Pará","Pará","Serra de Santarém. Mata do Planalto de Piquiatuba.",NA,NA,"Arv. gr., fl. amarela.","urn:catalog:JBRJ:RB:458175",NA,"Vochysia maxima Ducke"
"8",NA,"MN","R-TIPOS","19198","Vochysia maxima Ducke","Vochysiaceae","Vochysia","maxima","Ducke",NA,NA,"SYNTYPE","5857",NA,"Sampaio, A.J.",1928,12,11,"Brazil","Pará","Pico Ricardo Franco",NA,NA,NA,NA,"BRA:MN:R-TIPOS:0000019198",NA,"Vochysia maxima Ducke"
"9","2015-09-04T16:23:46.000+0000","MNHN","P","P00733885","Vochysia maxima Ducke","Vochysiaceae","Vochysia","maxima","Ducke","Stafleu",NA,"ISOTYPE",NA,15595,"Ducke, A.",1915,1,2,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733885",NA,"Vochysia maxima Ducke"
"10",NA,NA,"Botany","U.1769689","Vochysia maxima Ducke","Vochysiaceae","Vochysia","maxima","Ducke",NA,NA,NA,NA,NA,"Black GA",NA,NA,NA,"Brazil",NA,NA,"Plantas da Amazonia, Estado do Para, Belterra: arvore de cascavermelha, cheiro agradavel lembrando cedro, Madeira a ser estudade na Universidade de Yale, F-19.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1769689",NA,"Vochysia maxima Ducke"
"11","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","61194","Vochysia maxima Ducke","Vochysiaceae","Vochysia","maxima","Ducke",NA,NA,NA,"s.n.",NA,"Mike Hopkins",1975,1,26,"Brazil","Pará",NA,"Estrada Santarém-Cuiabá, BR-165, km 076",NA,NA,NA,"urn:catalog:inpa:herbarium:43952",NA,"Vochysia maxima Ducke"
"12","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","16053","Vochysia maxima Ducke","Vochysiaceae","Vochysia","maxima","Ducke",NA,NA,NA,"s.n.",NA,"Mike Hopkins",1933,1,17,"Brazil","Pará",NA,"Serra de Santarém. Mata de planalto de Piquiatuba.",-55.17,-2.733333,NA,"urn:catalog:inpa:herbarium:40910",NA,"Vochysia maxima Ducke"
"13","2017-10-17T18:31:22.000+0000","JBRJ","RB","RB00544516","Vochysia maxima Ducke","Vochysiaceae","Vochysia","maxima","Ducke",NA,NA,"SYNTYPE",NA,NA,"Ducke, A.",1915,1,2,"Brazil","Pará","Breu Branco","Estrada de Ferro de Alcabaca (rio Tocantins).",NA,NA,"arvore muito grande, flores amarelas. Herb. Amaz. Pará 15595","urn:catalog:JBRJ:RB:544516",NA,"Vochysia maxima Ducke"
"14",NA,NA,"Botany","U.1769688","Vochysia maxima Ducke","Vochysiaceae","Vochysia","maxima","Ducke",NA,NA,NA,NA,NA,"Black GA",NA,NA,NA,"Brazil",NA,NA,"Plantas da Amazonia, Estado do Para, Belterra, Capoeira.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1769688",NA,"Vochysia maxima Ducke"
