"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","new_Lat","new_Lon"
"1",NA,"Reserva Natural Vale (CVRD)","CVRD","14505","Molopanthera paniculata var. paniculata","Rubiaceae","Molopanthera","paniculata","paniculata","var. paniculata","Domingos A. Folli","2013-09-19T00:00:00.000+0000",NA,"7116",NA,"Folli, D.A.",2013,9,19,"brazil","es","baixo guandu",NA,NA,NA,"<ll>dwc_commonname:</ll> Arariba do rego","BRA:CVRD:CVRD:0000014505",NA,"Molopanthera paniculata var. paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-10-10T20:33:32.000+0000","JBRJ","RB","RB00843811","Molopanthera paniculata var. paniculata","Rubiaceae","Molopanthera","paniculata","paniculata","var. paniculata","D.A. Folli","2013-09-19T00:00:00.000+0000",NA,"7116",NA,"D.A. Folli",2013,9,19,"brazil","espirito santo","baixo guandu",NA,NA,NA,"Terrestre, porte arbóreo 16m, botão verde, flor amarela","urn:catalog:JBRJ:RB:843811",NA,"Molopanthera paniculata var. paniculata",NA,NA,2529,"Baixo Guandu",3200805,-40.983024,-19.570394,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,-19.570394,-40.983024
"3","2015-10-27T12:04:07.000+0000","JBRJ","RB","RB00733202","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","MARIO GOMES","2015-08-17T00:00:00.000+0000",NA,"11",NA,"C.B.A. Lima",2010,3,4,"brazil","rondonia","porto velho","Distrito Jacy Paraná. Margem direita do Rio Jacy Paraná. Zona 20L SAD69UTL.",-34,-8,"Árvore com 6m de altura. Casca com aparência lisa. Folha membranácea. Fruto carnoso, indeiscente e de cor verde","urn:catalog:JBRJ:RB:733202",NA,"Molopanthera paniculata Turcz.",NA,NA,4065,"Porto Velho",1100205,-64.306275,-9.153378,"RONDONIA","RO","Rondônia",-62.84395074,-10.91095782,-8,-34
"4","2018-08-09T17:33:53.000+0000","JBRJ","RB","RB00860202","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","M.Gomes",NA,NA,"44",NA,"T. Mansur",2009,9,15,"brazil","minas gerais","joanesia","PHC Ouro Fino; Rio Santo Antônio.",-43.333333,-19.266667,NA,"urn:catalog:JBRJ:RB:860202",NA,"Molopanthera paniculata Turcz.",NA,NA,2596,"Joanésia",3136108,-42.704886,-19.209782,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,-19.266667,-43.333333
"5",NA,"IPA","IPA","92280","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","Cano, O.","2009-01-30T00:00:00.000+0000",NA,"3252",NA,"Barros, R.; et al.; et al.",2008,5,29,"brazil","piaui","guaribas","PARNA - Serra das Confusões., Andorinha II.",-43.552222,-9.152222,NA,"BRA:IPA:IPA:0000092280",NA,"Molopanthera paniculata Turcz.",NA,NA,4082,"Guaribas",2204550,-43.671016,-9.063355,"PIAUI","PI","Piauí",-42.9686162,-7.38798322,-9.152222,-43.552222
"6",NA,"Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","11187","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","P.G. Delprete","2011-12-26T00:00:00.000+0000",NA,"6262",NA,"H. Lorenzi",2007,5,23,"brazil","es","sao domingos do norte","Coletada na estrada de terra para Colatina-ES, cerca de 4 km de São Domingos em área aberta a 500 m da rodovia.",NA,NA,NA,"BRA:JBP:HPL:0000011187",NA,"Molopanthera paniculata Turcz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"MBML","MBML-HERBARIO","30576","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","M. A. Pinho-Ferreira/30-07-2007",NA,NA,"2788",NA,"R.R. Vervloet; V. Demuner, E. Bausen, T. A. Cruz",2007,7,4,"brazil","espirito santo","aguia branca","Santa Luzia, Prop. Ciro Ferreira",-40.665556,-18.978056,"Árvore 14m, flores de cor branca.","BRA:MBML:MBML-HERBARIO:0000030576",NA,"Molopanthera paniculata Turcz.",NA,NA,2639,"Águia Branca",3200136,-40.748582,-18.971321,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,-18.978056,-40.665556
"8",NA,"Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","9335","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","P.G. Delprete","2011-12-26T00:00:00.000+0000",NA,"2044",NA,"R. Tsuji",2007,8,23,"brazil","es","soretama","Coletado em beira de estrada, próximo à Reserva da Vale do Rio Doce.",NA,NA,NA,"BRA:JBP:HPL:0000009335",NA,"Molopanthera paniculata Turcz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","10533","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","P.G. Delprete","2011-12-26T00:00:00.000+0000",NA,"2179",NA,"R. Tsuji",2007,9,23,"brazil","es","sao domingos do norte","Coletado na fazenda (Sítio Alto Alegre, Córrego São Domingos) de propriedade do Sr. Juscelino.",NA,NA,NA,"BRA:JBP:HPL:0000010533",NA,"Molopanthera paniculata Turcz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"USP","SPF","192450","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","Zappi, DC","2006-01-01T00:00:00.000+0000",NA,"285",NA,"Foresto, EB",2006,4,25,"brazil","minas gerais","sao goncalo do rio preto","Parque Estadual do Rio Preto",0,0,NA,"BRA:USP:SPF:0000192450",NA,"Molopanthera paniculata Turcz.",NA,NA,2789,"São Gonçalo do Rio Preto",3125507,-43.359005,-18.0765,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,-18.0765,-43.359005
