"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","comments","FID","new_Lat","new_Lon","notes"
"1",NA,"UEPA","MFS","001932","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke",NA,NA,NA,"313",NA,"Lucas, FCA",2012,10,NA,"brazil","para","santarem","Mata de terra firme.Solo arenoso.",-54.698333,-2.4375,"Àrvore de 8m de altura.frutos imaturos verdes.","BRA:UEPA:MFS:0000001932",NA,"Rauvolfia pentaphylla Ducke",NA,NA,5404,-2.4375,-54.698333,"original coordinates"
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","228017","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","Simões, A.O.","2008-09-24T00:00:00.000+0000",NA,"M5",NA,"Koch, I",2007,11,13,"brazil","amazonas",NA,"Reserva Ducke",NA,NA,NA,"urn:catalog:inpa:herbarium:208964",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,-4.15548242,-4.15548242,"centroide estado"
"3","2015-01-15T00:00:00.000+0000","K","Herbarium","K000903581","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke",NA,NA,NA,"6915",NA,"Sanaiotti, T.M.; Ratter, J.A.",1993,10,1,"brazil",NA,"macapa","APA de Curiaú.",-51.05,0.03,"Flora of Brazil.","http://specimens.kew.org/herbarium/K000903581",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,0.03,-51.05,"original coordinates"
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","176070","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","Koch, I.","2010-07-01T00:00:00.000+0000",NA,"R6915",NA,"Ratter, JA",1993,10,1,"brazil","amapa",NA,"APA de Curiaú, APA de Curiaú.",-51.05,0.033333,NA,"urn:catalog:inpa:herbarium:228951",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,0.033333,-51.05,"original coordinates"
"5","2013-02-25T13:48:00.000+0000","MO","MO","417722","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","I. Koch (UEC)","2010-01-01T00:00:00.000+0000",NA,"Santos 589",NA,"G. dos Santos|et al.",1992,1,9,"brazil","para",NA,"Para. Santarem. Alter do Chao Praia do Rio Tapajos em frente a Cidade de Alter do Chao.",NA,NA,NA,"urn:catalog:MO:Tropicos:417722","http://www.tropicos.org/Specimen/417722","Rauvolfia pentaphylla Ducke",NA,NA,NA,-3.972184,-3.972184,"centroide estado"
"6","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","173642","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","Koch, I.","2010-07-01T00:00:00.000+0000",NA,"481",NA,"Fran̤a, JT",1989,12,13,"brazil","rondonia",NA,"Flona Jamari-Jacundá.",NA,NA,NA,"urn:catalog:inpa:herbarium:229058",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,-10.91095782,-10.91095782,"centroide estado"
"7",NA,"ICN","COL","349740","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","Ingrid Koch","2010-07-01T00:00:00.000+0000",NA,"8783",NA,"B. Boom",1988,12,8,"brazil","amazonas",NA,"""Distrito Agropecuário, Reserva 1501 (""""km 41"""") of the WWF/INPA MCS Project.""",NA,NA,NA,"aae26d15-451d-483e-878c-5f317c8094e2",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,-4.15548242,-4.15548242,"centroide estado"
"8","2008-05-27T22:02:00.000+0000","MO","MO","3212346","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","A.Leeuwenberg","1989-01-01T00:00:00.000+0000",NA,"Nee 34578",NA,"Michael H. Nee",1987,3,30,"brazil","rondonia",NA,"Tall tropical evergreen forest on flat, the soil red clay. With Bertholletia excelsa, Hevea. Mun. Costa Marques, 16 km. NW of Costa Marques on hwy. BR 429, then 7 km. W, ca. 15 km. by air NW of Costa Marques.",-64.3,-12.33333,NA,"urn:catalog:MO:Tropicos:3212346","http://www.tropicos.org/Specimen/3212346","Rauvolfia pentaphylla Ducke",NA,NA,NA,-12.33333,-64.3,"original coordinates"
"9",NA,"Instituto de Botânica, IBT","SP","267145","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","Leeuwenberg, A",NA,NA,"34578",NA,"Nee, M",1987,3,30,"brazil","rondonia","costa marques","16 km NW of Costa Marques on highway BR-429, then 7 km W, ca 15 km by air NW of Costa Marques",-64.3,-12.333333,NA,"BRA:IBt:SP:0000267145",NA,"Rauvolfia pentaphylla Ducke",NA,NA,3574,-12.333333,-64.3,"original coordinates"
"10",NA,NA,"Botany","WAG.1618613","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke",NA,NA,NA,NA,NA,"Nee MH",1987,3,30,"brazil",NA,NA,"Costa Marques, 16 km NW of Costa Marques on hwy. BR 429, then 7 km W., ca. 15 km by air NW of Costa Marques.",-64.3,-12,NA,"http://data.biodiversitydata.nl/naturalis/specimen/WAG.1618613",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,-12,-64.3,"original coordinates"
"11","2015-01-15T00:00:00.000+0000","K","Herbarium","K000903580","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","Leeuwenberg, A.J.M.",NA,NA,"34578",NA,"Nee, M.H.",1987,3,30,"brazil",NA,"costa marques","16km NW of Costa Marques on hwy. BR 429, then 7km W, 15km by air NW of Costa Marques.",-64.3,-12.33,"Field work supported by The National Science Foundation and the Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq)","http://specimens.kew.org/herbarium/K000903580",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,-12.33,-64.3,"original coordinates"
"12","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","146471","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","Koch, I.","2010-07-01T00:00:00.000+0000",NA,"270",NA,"S̩rgio, P",1987,8,6,"brazil","roraima",NA,"Floresta Nacional do Jamari, Itapuã do Oeste.",NA,NA,NA,"urn:catalog:inpa:herbarium:229336",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,2.08232311,2.08232311,"centroide estado"
"13","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","146481","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","Koch, I.","2010-07-01T00:00:00.000+0000",NA,"280",NA,"S̩rgio, P",1987,8,11,"brazil","roraima",NA,"Floresta Nacional do Jamari, Itapuã do Oeste.",NA,NA,NA,"urn:catalog:inpa:herbarium:229335",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,2.08232311,2.08232311,"centroide estado"
"14","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","146548","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","Koch, I.","2010-07-01T00:00:00.000+0000",NA,"349",NA,"S̩rgio, P",1987,9,18,"brazil","rondonia",NA,"Floresta Nacional do Jamarí - Itapuá do Oeste.",NA,NA,NA,"urn:catalog:inpa:herbarium:228965",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,-10.91095782,-10.91095782,"centroide estado"
"15","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","146549","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","Koch, I.","2010-07-01T00:00:00.000+0000",NA,"350",NA,"S̩rgio, P",1987,9,19,"brazil","roraima",NA,"Floresta Nacional do Jamari, Itapuã do Oeste.",NA,NA,NA,"urn:catalog:inpa:herbarium:229334",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,2.08232311,2.08232311,"centroide estado"
"16",NA,NA,"Botany","WAG.1618611","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke",NA,NA,NA,NA,NA,"Pires MJP; Silva NT",1986,5,16,"brazil",NA,NA,"Para, Mun. de Almeirim, Mt. Dourado Reserve Genetica do Jari, Gleba Quaruba.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/WAG.1618611",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,NA,NA,"no coordinates, municipality or state provided"
"17",NA,"NY","NY","1843862","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","A. J. M. Leeuwenberg","1996-01-01T00:00:00.000+0000",NA,"730",NA,"M. J. P. Pires-O'Brien",1985,12,5,"brazil","para",NA,"Monte Dourado, a 20 m E O Gleba Quaruba da Reserva GenÃ©tica.",0,0,NA,"5e2ab349-8bf1-415e-a2a9-608c739ff36c",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,-3.972184,-53.0625366,"centroide estado (0)"
"18","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","146959","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","Koch, I.","2010-07-01T00:00:00.000+0000",NA,"730",NA,"Pires, MJ",1985,12,5,"brazil","para",NA,"Monte Dourado a 20 m E 0 Gleba Quaruba da Reserva Genética.",NA,NA,NA,"urn:catalog:inpa:herbarium:228955",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,-3.972184,-3.972184,"centroide estado"
"19",NA,NA,"Botany","WAG.1618612","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke",NA,NA,NA,NA,NA,"Pires MJP; Silva NT; Conceiçao MA",1985,12,5,"brazil",NA,NA,"Para, Mun. de Almeirim, Mte. Dourado, area da Agua Azul, proximo a estaca zero da gleba. Quaruba da Reserve Genetica do Jari.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/WAG.1618612",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,NA,NA,"no coordinates, municipality or state provided"
"20","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","148917","Rauvolfia pentaphylla Ducke",NA,"Apocynaceae","Rauvolfia","pentaphylla","Ducke","Koch, I.","2010-07-01T00:00:00.000+0000",NA,"INPA148917",NA,"Pires, MJ",1985,12,5,"brazil","para",NA,"Monte Dourado, área da Água Azul, próximo à estação zero da gleba Quaruba da Reserva Genética do Jarí.",NA,NA,NA,"urn:catalog:inpa:herbarium:228952",NA,"Rauvolfia pentaphylla Ducke",NA,NA,NA,-3.972184,-3.972184,"centroide estado"
